18646,hazed,CLG,tarik,CLG,reltuC,CLG,FNS,CLG,nitr0,Denial,FugLy,Denial,jdm64,CLG,ShahZaM,Denial,NAF-FLY,Denial,daps,Denial
20304,tarik,CLG,hazed,CLG,FNS,CLG,reltuC,CLG,jdm64,CLG,DAVEY,SYNRGY,abE,SYNRGY,jasonR,SYNRGY,arya,SYNRGY,focs,SYNRGY
20309,tarik,CLG,FNS,CLG,reltuC,CLG,hazed,CLG,jdm64,CLG,fl0m,Luminosity,anger,Luminosity,LeX,Luminosity,pyth,Luminosity,ptr,Luminosity
20355,tarik,CLG,jdm64,CLG,hazed,CLG,FNS,CLG,reltuC,CLG,feNeK,ACE,decipLe,ACE,PEX,ACE,APE,ACE,mOE,ACE
20577,tarik,CLG,reltuC,CLG,mOE,ACE,APE,ACE,hazed,CLG,jdm64,CLG,FNS,CLG,feNeK,ACE,PEX,ACE,decipLe,ACE
20578,mOE,ACE,hazed,CLG,FNS,CLG,tarik,CLG,reltuC,CLG,PEX,ACE,APE,ACE,decipLe,ACE,jdm64,CLG,feNeK,ACE
20676,jasonR,affNity,jdm64,CLG,focs,affNity,FNS,CLG,DAVEY,affNity,arya,affNity,abE,affNity,tarik,CLG,hazed,CLG,reltuC,CLG
20677,focs,affNity,tarik,CLG,hazed,CLG,DAVEY,affNity,arya,affNity,jdm64,CLG,jasonR,affNity,reltuC,CLG,FNS,CLG,abE,affNity
20729,tarik,CLG,FNS,CLG,hazed,CLG,jdm64,CLG,reltuC,CLG,roca,eLevate,RUSH,eLevate,Storm,eLevate,desi,eLevate,Xp3,eLevate
20781,FNS,CLG,reltuC,CLG,tarik,CLG,streboR,Method,jdm64,CLG,hazed,CLG,just9n,Method,SileNt3m,Method,Eley,Method,MAiNLiNE,Method
20852,steel,Keyd Stars,jdm64,CLG,FalleN,Keyd Stars,zqkS,Keyd Stars,fer,Keyd Stars,FNS,CLG,tarik,CLG,hazed,CLG,reltuC,CLG,boltz,Keyd Stars
21125,jdm64,CLG,FugLy,Liquid,hazed,CLG,tarik,CLG,FNS,CLG,nitr0,Liquid,adreN,Liquid,reltuC,CLG,EliGE,Liquid,flowsicK,Liquid
21126,adreN,Liquid,FNS,CLG,nitr0,Liquid,flowsicK,Liquid,jdm64,CLG,reltuC,CLG,EliGE,Liquid,FugLy,Liquid,tarik,CLG,hazed,CLG
21134,tarik,CLG,seangares,Cloud9,n0thing,Cloud9,Skadoodle,Cloud9,reltuC,CLG,FNS,CLG,shroud,Cloud9,freakazoid,Cloud9,hazed,CLG,jdm64,CLG
21258,Skadoodle,Cloud9,reltuC,CLG,tarik,CLG,n0thing,Cloud9,shroud,Cloud9,freakazoid,Cloud9,jdm64,CLG,FNS,CLG,hazed,CLG,seangares,Cloud9
21288,jdm64,CLG,shroud,Cloud9,Skadoodle,Cloud9,n0thing,Cloud9,desi,Cloud9,tarik,CLG,reltuC,CLG,FNS,CLG,seangares,Cloud9,hazed,CLG
21329,jdm64,CLG,hazed,CLG,reltuC,CLG,FNS,CLG,streboR,Method,tarik,CLG,SileNt3m,Method,just9n,Method,MAiNLiNE,Method,Eley,Method
21332,jdm64,CLG,reltuC,CLG,hazed,CLG,RUSH,eLevate,roca,eLevate,Professor_Chaos,eLevate,FNS,CLG,tarik,CLG,Xp3,eLevate,Storm,eLevate
21335,reltuC,CLG,jdm64,CLG,tarik,CLG,ShahZaM,Tempo Storm,ryx,Tempo Storm,glorinsz,Tempo Storm,hazed,CLG,FNS,CLG,stanislaw,Tempo Storm,hades,Tempo Storm
21424,ShahZaM,Tempo Storm,ryx,Tempo Storm,glorinsz,Tempo Storm,tarik,CLG,hades,Tempo Storm,stanislaw,Tempo Storm,hazed,CLG,reltuC,CLG,FNS,CLG,jdm64,CLG
21426,jdm64,CLG,stanislaw,Tempo Storm,reltuC,CLG,tarik,CLG,FNS,CLG,glorinsz,Tempo Storm,ryx,Tempo Storm,hades,Tempo Storm,hazed,CLG,ShahZaM,Tempo Storm
21484,jdm64,CLG,tarik,CLG,reltuC,CLG,FNS,CLG,hazed,CLG,zecK,mouseSpaz,impsta,mouseSpaz,pauLy,mouseSpaz,dmize,mouseSpaz,fruit,mouseSpaz
21493,tarik,CLG,NAF-FLY,Luminosity,anger,Luminosity,hazed,CLG,reltuC,CLG,ptr,Luminosity,pyth,Luminosity,LeX,Luminosity,FNS,CLG,jdm64,CLG
21495,hazed,CLG,tarik,CLG,reltuC,CLG,jdm64,CLG,FNS,CLG,decipLe,ACE,Maxaki,ACE,PEX,ACE,vEz,ACE,Grt,ACE
21522,hazed,CLG,jdm64,CLG,pyth,Luminosity,reltuC,CLG,ptr,Luminosity,tarik,CLG,FNS,CLG,LeX,Luminosity,anger,Luminosity,NAF-FLY,Luminosity
21598,autimatic,Nihilum,tarik,CLG,jdm64,CLG,hazed,CLG,Hiko,Nihilum,valens,Nihilum,FNS,CLG,SEMPHIS,Nihilum,reltuC,CLG,sancz,Nihilum
21653,pyth,Luminosity,ptr,Luminosity,NAF-FLY,Luminosity,LeX,Luminosity,tarik,CLG,jdm64,CLG,reltuC,CLG,anger,Luminosity,FNS,CLG,hazed,CLG
21684,hazed,CLG,reltuC,CLG,FNS,CLG,jdm64,CLG,tarik,CLG,dmize,mouseSpaz,zecK,mouseSpaz,pauLy,mouseSpaz,fruit,mouseSpaz,impsta,mouseSpaz
21736,jdm64,CLG,reltuC,CLG,tarik,CLG,hazed,CLG,Hiko,Nihilum,SEMPHIS,Nihilum,FNS,CLG,autimatic,Nihilum,valens,Nihilum,sancz,Nihilum
21752,fer,Keyd Stars,zqkS,Keyd Stars,hazed,CLG,FNS,CLG,jdm64,CLG,boltz,Keyd Stars,FalleN,Keyd Stars,reltuC,CLG,steel,Keyd Stars,tarik,CLG
21760,FNS,CLG,tarik,CLG,hazed,CLG,arya,affNity,reltuC,CLG,abE,affNity,focs,affNity,jdm64,CLG,SIDOF,affNity,jasonR,affNity
21764,shroud,Cloud9,seangares,Cloud9,n0thing,Cloud9,Skadoodle,Cloud9,reltuC,CLG,freakazoid,Cloud9,FNS,CLG,tarik,CLG,hazed,CLG,jdm64,CLG
21843,EliGE,Liquid,adreN,Liquid,FugLy,Liquid,nitr0,Liquid,flowsicK,Liquid,tarik,CLG,FNS,CLG,reltuC,CLG,hazed,CLG,jdm64,CLG
21844,jdm64,CLG,FNS,CLG,reltuC,CLG,FugLy,Liquid,hazed,CLG,tarik,CLG,adreN,Liquid,flowsicK,Liquid,nitr0,Liquid,EliGE,Liquid
21861,hazed,CLG,olofmeister,fnatic,jdm64,CLG,JW,fnatic,flusha,fnatic,tarik,CLG,reltuC,CLG,FNS,CLG,pronax,fnatic,KRIMZ,fnatic
