MatchID, Map, TeamAWins, TeamARounds, TeamBRounds, A1_frags, A1_assists, A1_deaths, A2_frags, A2_assists, A2_deaths, A3_frags, A3_assists, A3_deaths, A4_frags, A4_assists, A4_deaths, A5_frags, A5_assists, A5_deaths, B1_frags, B1_assists, B1_deaths, B2_frags, B2_assists, B2_deaths, B3_frags, B3_assists, B3_deaths, B4_frags, B4_assists, B4_deaths, B5_frags, B5_assists, B5_deaths
3087897,de_mirage_go,0,4,16,15,2,19,13,2,17,5,0,18,14,0,16,10,3,19,25,3,12,22,2,9,16,6,9,14,6,13,12,2,14
3087899,de_mirage_go,0,6,16,13,2,18,13,3,17,10,1,21,6,3,20,8,0,19,21,7,11,23,3,9,24,0,14,17,2,9,10,4,8
3087900,de_mirage_go,1,16,2,20,6,9,19,3,7,9,2,8,22,1,7,14,1,8,14,2,16,6,1,17,9,3,17,3,2,16,6,3,18
3087901,de_mirage_go,1,16,0,15,4,4,19,6,9,13,6,6,19,3,5,12,3,5,5,1,15,3,1,16,7,2,15,6,0,16,8,2,16
3087902,de_mirage_go,1,16,11,29,8,19,24,7,19,18,7,20,19,4,15,9,3,20,36,5,17,16,2,20,16,5,21,8,5,22,17,3,21
3087903,de_mirage_go,1,16,14,33,7,23,25,4,23,20,6,16,18,4,20,18,3,20,31,2,23,20,2,20,20,6,23,15,4,24,16,1,24
3087904,de_mirage_go,1,16,1,22,3,7,18,1,7,15,4,7,14,6,10,13,1,5,9,2,16,9,0,17,7,2,17,7,0,16,3,4,16
3087905,de_mirage_go,1,16,11,29,8,13,25,6,20,19,3,17,15,1,22,13,4,22,19,2,17,15,9,22,19,3,18,20,3,20,21,2,24
3087907,de_mirage_go,0,6,16,12,4,20,13,4,19,11,7,18,14,2,18,10,1,17,25,4,12,22,3,12,19,0,10,16,3,16,10,4,11
3087909,de_mirage_go,1,16,11,33,6,14,20,4,18,19,1,16,18,2,17,14,5,20,21,8,20,18,3,21,19,4,20,15,4,22,12,2,21
3087912,de_mirage_go,1,16,3,20,8,11,27,1,6,15,5,11,14,3,8,10,3,10,8,4,17,10,1,17,12,1,17,11,1,17,5,1,18
3087913,de_mirage_go,0,6,16,20,1,17,7,1,21,10,3,19,6,5,20,12,2,19,26,3,12,22,2,8,17,6,13,19,3,13,12,1,10
3087916,de_mirage_go,1,16,4,22,6,9,19,3,7,18,6,11,18,3,9,14,5,6,12,2,17,11,2,18,8,4,19,4,2,19,6,2,19
3087917,de_mirage_go,1,16,3,17,6,10,16,6,12,22,5,7,16,4,6,17,2,7,9,2,17,9,3,16,8,2,18,9,2,18,7,2,19
3087918,de_mirage_go,1,16,9,30,3,11,16,5,17,21,6,14,15,5,20,12,1,15,14,7,20,19,0,20,13,3,21,16,2,19,15,7,16
3087919,de_mirage_go,0,6,16,25,1,18,13,2,19,9,4,20,12,4,19,6,0,20,17,4,17,27,3,9,22,2,12,13,2,14,16,1,13
3087920,de_mirage_go,1,16,13,26,6,19,28,4,18,16,7,21,16,1,20,19,4,22,27,7,21,15,5,20,21,5,19,22,5,21,15,5,24
3087922,de_mirage_go,1,16,10,22,2,15,22,2,17,20,7,13,18,1,14,12,1,15,15,2,19,17,4,21,14,4,14,20,3,20,8,2,20
3087925,de_mirage_go,0,2,16,9,0,14,7,2,17,7,0,18,10,2,18,7,0,17,19,4,13,18,3,9,17,2,8,15,1,5,14,1,8
3087926,de_mirage_go,1,16,11,25,7,19,25,7,17,28,2,18,11,5,19,12,4,19,27,5,22,16,1,18,16,5,20,18,5,23,14,1,19
3087929,de_mirage_go,1,16,5,23,5,10,23,4,14,17,4,14,17,4,9,14,1,11,11,6,18,15,4,18,9,1,19,14,1,18,9,2,21
3087930,de_mirage_go,1,16,3,15,6,9,19,6,6,24,2,7,14,4,11,14,2,10,14,1,17,7,5,16,5,2,18,7,0,17,9,1,18
3087931,de_mirage_go,1,16,6,25,9,11,23,3,12,17,2,10,14,5,12,12,3,12,19,1,17,16,0,18,8,5,18,8,2,19,6,5,19
3087932,de_mirage_go,0,4,16,11,1,15,16,2,16,9,2,17,8,2,19,10,1,19,23,2,8,20,3,8,18,6,13,16,5,13,9,3,13
3087935,de_mirage_go,1,16,5,23,6,9,25,1,9,20,3,15,13,4,14,12,2,13,14,3,19,13,5,17,7,2,18,14,3,20,12,1,19
3087936,de_mirage_go,0,9,16,24,3,18,13,3,17,11,5,21,16,2,18,11,4,20,30,2,14,19,5,12,20,2,13,14,4,20,9,2,17
3087937,de_mirage_go,0,0,16,4,0,16,1,0,16,7,1,16,4,0,16,1,2,16,19,7,5,17,7,5,23,1,1,12,3,4,9,1,2
3087938,de_mirage_go,1,16,4,18,6,10,13,10,14,18,8,11,20,2,8,17,2,10,14,2,17,8,3,17,9,1,19,15,2,18,7,2,17
3087939,de_mirage_go,1,16,6,31,4,13,23,5,11,13,6,13,14,5,9,15,2,9,20,3,18,14,3,19,7,0,19,8,4,19,6,1,21
3088097,de_mirage_go,1,16,14,25,6,17,25,7,22,23,6,18,16,5,17,20,1,21,23,9,22,21,2,21,21,3,23,18,6,24,11,3,21
3088102,de_mirage_go,1,16,7,28,0,11,36,1,11,12,5,12,10,3,13,10,7,13,14,1,21,16,0,17,9,2,21,14,1,19,7,1,18
3088103,de_mirage_go,1,16,4,18,7,12,22,5,13,17,4,10,15,1,10,15,3,14,15,3,15,8,1,18,11,1,17,13,2,19,12,2,18
3088105,de_mirage_go,1,16,12,28,2,19,21,2,20,24,4,17,16,6,18,17,4,20,17,7,20,20,5,23,24,4,23,17,3,21,16,3,19
3088106,de_mirage_go,1,16,12,31,6,21,27,8,13,28,1,17,15,6,17,15,5,18,21,2,20,16,4,23,21,6,23,20,0,25,7,3,25
3088107,de_mirage_go,0,4,16,12,0,17,13,3,18,6,2,18,15,0,18,4,1,17,22,4,12,19,7,7,12,5,14,17,3,8,18,1,9
3088108,de_mirage_go,0,8,16,17,1,16,13,6,21,16,2,18,14,2,21,12,4,17,29,1,15,17,12,17,14,3,15,19,0,14,12,0,12
3088110,de_mirage_go,1,16,11,20,9,20,24,4,17,24,3,16,23,7,20,15,3,14,18,5,20,20,1,24,13,3,21,15,7,20,20,3,21
