MatchID, Map,TeamAWins, TeamARounds, TeamBRounds, A1_frags, A1_assists, A1_deaths, A2_frags, A2_assists, A2_deaths, A3_frags, A3_assists, A3_deaths, A4_frags, A4_assists, A4_deaths, A5_frags, A5_assists, A5_deaths, B1_frags, B1_assists, B1_deaths, B2_frags, B2_assists, B2_deaths, B3_frags, B3_assists, B3_deaths, B4_frags, B4_assists, B4_deaths, B5_frags, B5_assists, B5_deaths
13208,nuke_se,1,16,12,21,-,16,23,-,20,22,-,18,25,-,19,17,-,21,22,-,20,20,-,23,18,-,21,16,-,22,17,-,22
13274,inferno_se,1,16,9,27,-,15,21,-,16,19,-,14,16,-,15,18,-,15,19,-,16,20,-,21,16,-,20,11,-,21,8,-,23
13277,train_se,1,16,6,26,-,10,20,-,11,17,-,11,16,-,9,18,-,14,15,-,20,13,-,20,10,-,18,8,-,18,9,-,21
13278,dust2_se,0,8,16,16,-,17,13,-,21,13,-,21,8,-,20,10,-,18,24,-,11,21,-,10,20,-,13,20,-,17,12,-,9
13279,dust2_se,1,16,9,22,-,14,24,-,14,19,-,12,15,-,14,16,-,16,18,-,20,16,-,17,14,-,19,11,-,17,11,-,23
13280,mirage_ce,0,7,16,24,-,19,15,-,18,14,-,17,8,-,19,9,-,21,26,-,14,21,-,11,18,-,16,16,-,15,13,-,15
13282,mirage_ce,1,16,4,26,-,8,16,-,9,15,-,7,17,-,8,14,-,13,11,-,18,11,-,18,9,-,17,8,-,17,6,-,18
13283,mirage_ce,0,9,16,18,-,19,17,-,23,15,-,20,13,-,22,10,-,21,24,-,11,21,-,15,22,-,16,20,-,14,18,-,17
13292,train_se,1,16,7,24,-,7,24,-,13,22,-,14,18,-,11,14,-,14,19,-,21,9,-,20,11,-,21,11,-,21,9,-,19
13293,nuke_se,1,16,3,19,-,10,21,-,11,18,-,9,15,-,10,14,-,9,14,-,16,11,-,16,10,-,18,8,-,18,6,-,19
13294,train_se,1,16,14,30,-,21,21,-,21,22,-,20,20,-,22,16,-,22,26,-,21,23,-,20,20,-,24,19,-,23,18,-,21
13310,dust2_se,0,0,16,8,-,15,6,-,15,7,-,16,5,-,16,3,-,16,22,-,2,16,-,3,15,-,8,13,-,7,12,-,9
13311,mirage_ce,1,16,14,22,-,19,16,-,18,20,-,20,21,-,25,19,-,23,23,-,17,24,-,21,21,-,20,19,-,20,18,-,20
13313,nuke_se,0,9,16,19,-,17,16,-,19,14,-,19,13,-,20,11,-,21,23,-,13,21,-,11,21,-,16,17,-,18,14,-,15
13315,nuke_se,1,16,13,24,-,17,27,-,21,22,-,16,22,-,22,12,-,20,25,-,21,24,-,22,17,-,21,16,-,20,14,-,23
13317,inferno_se,1,16,10,25,-,15,21,-,12,19,-,16,20,-,16,19,-,17,22,-,20,18,-,19,14,-,21,12,-,22,10,-,22
13318,dust2_se,0,12,16,19,-,21,16,-,20,17,-,22,19,-,22,12,-,23,35,-,16,27,-,16,23,-,18,12,-,14,10,-,19
13319,inferno_se,1,16,10,26,-,15,22,-,18,20,-,17,16,-,16,11,-,14,23,-,19,20,-,19,20,-,18,9,-,18,8,-,21
13320,train_se,1,16,8,31,-,15,23,-,9,18,-,12,12,-,11,12,-,15,16,-,19,13,-,20,13,-,19,12,-,20,8,-,18
13321,inferno_se,0,12,16,21,-,19,20,-,21,17,-,20,13,-,21,13,-,21,28,-,18,25,-,17,19,-,14,19,-,15,11,-,21
13322,inferno_se,0,8,16,17,-,16,14,-,17,17,-,20,13,-,19,7,-,17,22,-,13,18,-,10,19,-,16,14,-,14,16,-,15
13323,dust2_se,1,16,4,22,-,6,21,-,5,20,-,8,15,-,9,10,-,11,11,-,18,9,-,17,8,-,18,4,-,17,6,-,18
